
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
79,Daniel Bard\bardda01,36,COL,1,.899,493,1.000,.000,0.0%,0.0%,0.0%,99.9,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.4
80,Austin Barnes\barneau01,31,LAD,225,.292,72,.268,.130,2.7%,24.9%,8.9%,84.6,31.7%,20.0%,42.8%,30.3%,0.77,28.3%,57.2%,14.5%,0.2,0.2%,-2.8
81,Charlie Barnes\barnech01,25,MIN,1,.000,-123,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
82,Tucker Barnhart\barnhtu01,30,CIN,388,.304,72,.324,.121,1.8%,25.8%,7.5%,86.7,31.2%,23.1%,41.4%,28.7%,0.72,32.3%,50.6%,17.1%,-1.1,-0.1%,-7.1
83,Luis Barrera\barrelu01,25,OAK,8,.223,37,.333,.000,0.0%,25.0%,0.0%,89.0,33.3%,33.3%,33.3%,33.3%,0.50,16.7%,33.3%,50.0%,0.0,0.0%,0.1
84,Tres Barrera\barretr01,26,WSN,107,.345,118,.328,.121,1.9%,20.6%,11.2%,82.0,24.6%,27.5%,47.8%,14.5%,0.92,21.7%,60.9%,17.4%,0.4,0.0%,2.3
85,José Barrero\garcijo02,23,CIN,56,.290,59,.303,.120,0.0%,30.4%,5.4%,89.3,36.4%,18.2%,36.4%,39.4%,0.57,36.4%,57.6%,6.1%,-0.3,0.0%,-3.8
86,Jaime Barria\barrija01,24,LAA,3,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.7
87,Joey Bart\bartjo01,24,SFG,6,.283,69,.500,.000,0.0%,33.3%,0.0%,87.1,50.0%,50.0%,25.0%,0.0%,0.33,0.0%,100.0%,0.0%,0.1,0.0%,-0.1
88,Chris Bassitt\bassich01,32,OAK,2,.000,-121,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.6
89,Trevor Bauer\bauertr01,30,LAD,34,.051,-117,.053,.000,0.0%,32.4%,2.9%,73.7,0.0%,22.7%,54.5%,9.1%,1.71,13.6%,59.1%,27.3%,-0.5,-0.4%,-6.7
90,Jake Bauers\bauerja01,25,TOT,315,.268,62,.275,.067,1.3%,24.8%,9.5%,87.5,37.9%,26.5%,33.8%,27.9%,0.52,30.4%,55.4%,14.2%,-1.2,-0.7%,-17.4
91,Jake Bauers\bauerja01,25,CLE,113,.262,60,.239,.090,1.8%,23.9%,10.6%,89.1,42.5%,30.1%,35.6%,20.5%,0.57,28.8%,47.9%,23.3%,-0.4,-0.3%,-5.0
92,Jake Bauers\bauerja01,25,SEA,202,.272,64,.295,.055,1.0%,25.3%,8.9%,86.7,35.4%,24.4%,32.8%,32.1%,0.49,31.3%,59.5%,9.2%,-0.7,-0.4%,-12.4
93,Matt Beaty\beatyma01,28,LAD,234,.350,115,.314,.132,3.0%,18.8%,8.6%,86.7,30.6%,22.5%,43.8%,24.4%,0.78,36.9%,44.4%,18.8%,0.9,0.7%,13.6
94,David Bednar\bednada01,26,PIT,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
95,Seth Beer\beerse01,24,ARI,10,.575,276,.600,.444,10.0%,30.0%,10.0%,88.5,50.0%,66.7%,0.0%,33.3%,0.00,50.0%,33.3%,16.7%,0.2,0.0%,1.8
96,Josh Bell\belljo02,28,WSN,568,.370,135,.276,.215,4.8%,17.8%,11.4%,92.5,52.1%,22.0%,54.3%,21.5%,1.19,25.5%,59.0%,15.5%,0.7,-0.3%,11.2
97,Cody Bellinger\bellico01,25,LAD,350,.241,36,.196,.137,2.9%,26.9%,8.9%,89.1,34.5%,23.2%,31.3%,33.9%,0.46,33.9%,52.2%,13.8%,-1.5,-1.3%,-22.1
98,Brandon Belt\beltbr01,33,SFG,381,.409,158,.309,.323,7.6%,27.0%,12.6%,87.6,44.8%,21.5%,26.9%,41.7%,0.38,36.8%,44.8%,18.4%,2.1,1.5%,20.4
99,Anthony Bemboom\bemboan01,31,LAA,28,.209,20,.353,.000,0.0%,35.7%,3.6%,79.6,11.8%,29.4%,52.9%,11.8%,1.29,41.2%,35.3%,23.5%,-0.3,-0.2%,-4.1
100,Anthony Bender\bendean01,26,MIA,2,.000,-133,.000,.000,0.0%,50.0%,0.0%,106.7,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
101,Andrew Benintendi\beninan01,26,KCR,538,.329,106,.309,.166,3.2%,18.0%,6.7%,89.1,43.2%,21.8%,38.5%,34.5%,0.64,29.0%,54.3%,16.6%,0.8,0.2%,7.4
102,Jose Berrios\berrijo01,27,TOT,4,.000,-202,.000,.000,0.0%,50.0%,0.0%,32.5,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.2
103,Jose Berrios\berrijo01,27,MIN,2,.000,-123,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
104,Jose Berrios\berrijo01,27,TOR,2,.000,-360,.000,.000,0.0%,0.0%,0.0%,32.5,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.0
105,Jon Berti\bertijo01,31,MIA,271,.289,72,.265,.103,1.5%,22.5%,11.8%,86.8,38.3%,23.4%,58.9%,13.7%,1.45,16.0%,58.3%,25.7%,-0.6,-0.2%,-3.9
106,Alec Bettinger\bettial01,25,MIL,1,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
107,Mookie Betts\bettsmo01,28,LAD,550,.380,135,.276,.223,4.2%,15.6%,12.4%,90.3,41.3%,23.6%,34.8%,33.2%,0.53,35.6%,50.6%,13.8%,0.4,0.0%,21.5
108,Bo Bichette\bichebo01,23,TOR,690,.365,122,.339,.186,4.2%,19.9%,5.8%,91.4,47.6%,23.9%,49.3%,22.1%,0.97,17.6%,59.8%,22.7%,2.3,1.7%,27.6
109,Phil Bickford\bickfph01,25,TOT,3,.300,78,1.000,.000,0.0%,66.7%,0.0%,94.8,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1
110,Phil Bickford\bickfph01,25,LAD,3,.300,78,1.000,.000,0.0%,66.7%,0.0%,94.8,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1
111,Shane Bieber\biebesh01,26,CLE,6,.000,-127,.000,.000,0.0%,50.0%,0.0%,80.6,0.0%,0.0%,66.7%,33.3%,2.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.9
112,Cavan Biggio\biggica01,26,TOR,294,.298,80,.290,.132,2.4%,26.5%,12.6%,88.4,31.6%,26.0%,37.3%,29.4%,0.61,29.9%,51.4%,18.6%,-1.2,-0.7%,-7.5
113,Braden Bishop\bishobr01,27,SEA,5,.199,-3,.500,.000,0.0%,40.0%,0.0%,52.9,33.3%,0.0%,33.3%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
114,Charlie Blackmon\blackch02,34,COL,582,.340,96,.305,.140,2.2%,15.6%,9.3%,87.6,38.5%,24.4%,47.4%,22.3%,0.90,28.2%,57.5%,14.3%,1.6,0.1%,10.9
115,Alex Blandino\blandal01,28,CIN,82,.286,57,.333,.057,0.0%,34.2%,9.8%,83.9,31.0%,28.6%,35.7%,21.4%,0.58,21.4%,61.9%,16.7%,-0.9,-0.5%,-3.3
116,Travis Blankenhorn\blanktr01,24,TOT,24,.292,79,.214,.217,4.2%,33.3%,4.2%,96.2,73.3%,13.3%,46.7%,26.7%,0.88,46.7%,33.3%,20.0%,-0.4,-0.2%,-1.1
117,Travis Blankenhorn\blanktr01,24,NYM,24,.292,79,.214,.217,4.2%,33.3%,4.2%,96.2,73.3%,13.3%,46.7%,26.7%,0.88,46.7%,33.3%,20.0%,-0.4,-0.2%,-1.1
118,Richard Bleier\bleieri01,34,MIA,1,,,,,0.0%,0.0%,0.0%,54.4,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
119,Xander Bogaerts\bogaexa01,28,BOS,603,.379,133,.333,.198,3.8%,18.7%,10.3%,89.6,43.1%,28.8%,40.2%,23.9%,0.67,33.1%,50.4%,16.5%,1.2,0.9%,19.4
120,Alec Bohm\bohmal01,24,PHI,417,.298,77,.327,.095,1.7%,26.6%,7.4%,92.0,49.8%,28.2%,52.7%,16.5%,1.12,20.1%,56.0%,23.8%,-0.8,-0.8%,-11.7
121,Skye Bolt\boltsk01,27,TOT,60,.122,-46,.098,.070,1.7%,25.0%,1.7%,84.0,27.3%,15.9%,50.0%,27.3%,1.10,38.6%,54.5%,6.8%,-0.9,-0.7%,-9.0
122,Skye Bolt\boltsk01,27,SFG,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
123,Skye Bolt\boltsk01,27,OAK,59,.124,-44,.098,.071,1.7%,23.7%,1.7%,84.0,27.3%,15.9%,50.0%,27.3%,1.10,38.6%,54.5%,6.8%,-0.9,-0.7%,-8.8
124,Jorge Bonifacio\bonifjo01,28,PHI,12,.125,-44,.200,.000,0.0%,50.0%,8.3%,74.6,20.0%,20.0%,40.0%,40.0%,0.67,20.0%,40.0%,40.0%,0.0,0.0%,-1.1
